Code,Airport Name,City,Country,Altitude,Lat,Long,Traffic Rank,Traffic
HYD,HYDERABAD,HYDERABAD,INDIA,531,17.452,78.461,138,17148069
BSB,PRESIDENTE JUSCELINO KUBITSCHEK,BRASILIA,BRAZIL,1061,-15.862,-47.913,139,16912680
HKT,PHUKET INTERNATIONAL,PHUKET,THAILAND,25,8.113,98.317,140,16855637
PUS,GIMHAE INTERNATIONAL,KIMHAE,KOREA,4,35.179,128.938,141,16403541
YYC,CALGARY INTERNATIONAL,CALGARY,CANADA,1085,51.114,-114.02,142,16275862
GIG,GALEAO ANTONIO CARLOS JOBIM,RIO DE JANEIRO,BRAZIL,9,-22.809,-43.244,143,16243253
LED,PULKOVO,ST. PETERSBURG,RUSSIA,25,59.8,30.265,144,16125520
ESB,ESENBOGA,ANKARA,TURKEY,953,40.128,32.995,145,15845878
LTN,LUTON,LONDON,ENGLAND,161,51.874,-0.368,146,15799219
WAW,OKECIE,WARSAW,POLAND,111,52.166,20.967,147,15730330
PTY,TOCUMEN INTERNATIONAL,PANAMA CITY,PANAMA,42,9.071,-79.383,148,15616065
DAL,DALLAS LOVE FLD,DALLAS,USA,149,32.847,-96.852,149,15562738
PRG,RUZYNE,PRAGUE,CZECH REPUBLIC,381,50.101,14.26,150,15415001
STL,LAMBERT ST LOUIS INTERNATIONAL,ST. LOUIS,USA,185,38.748,-90.36,151,14730656
ITM,OSAKA INTERNATIONAL,OSAKA,JAPAN,16,34.785,135.438,152,14541936
BNA,NASHVILLE INTERNATIONAL,NASHVILLE,USA,183,36.124,-86.678,154,14134448
NNG,WUXU,NANNING,CHINA,129,22.608,108.172,155,13915542
AUS,AUSTIN BERGSTROM INTERNATIONAL,AUSTIN,USA,166,30.194,-97.67,156,13889305
AEP,AEROPARQUE JORGE NEWBERY,BUENOS AIRES,ARGENTINA,6,-34.559,-58.416,157,13797710
PER,PERTH INTERNATIONAL,PERTH,AUSTRALIA,21,-31.94,115.967,158,13759170
ALC,ALICANTE,ALICANTE,SPAIN,44,38.282,-0.558,159,13713061
HOU,WILLIAM P HOBBY,HOUSTON,USA,15,29.645,-95.279,160,13435672
EDI,EDINBURGH,EDINBURGH,UK,42,55.95,-3.373,161,13432485
NCE,COTE D AZUR,NICE,FRANCE,4,43.661,7.218,162,13304782
BUD,FERIHEGY,BUDAPEST,HUNGARY,151,47.437,19.256,163,13097239
LPA,GRAN CANARIA,GRAN CANARIA,CANARY ISLANDS,24,27.932,-15.386,164,13092117
OAK,METROPOLITAN OAKLAND INTERNATIONAL,OAKLAND,USA,2,37.721,-122.221,165,13072245
BHX,BIRMINGHAM,BIRMINGHAM,ENGLAND,100,52.454,-1.748,166,12983436
TYN,WUSU,TAIYUAN,CHINA,785,37.747,112.629,167,12980259
SXF,SCHONEFELD,BERLIN,GERMANY,48,52.38,13.523,168,12865315
ADB,ADNAN MENDERES,IZMIR,TURKEY,126,38.292,27.157,169,12823701
LHW,WRIGHT AAF,WRIGHT,USA,15,31.889,-81.562,170,12816443
GDL,DON MIGUEL Y HIDALGO INTERNATIONAL,GUADALAJARA,MEXICO,1528,20.522,-103.311,171,12808000
OTP,OTOPENI,BUCHAREST,ROMANIA,96,44.574,26.103,172,12804191
SJC,NORMAN Y MINETA SAN JOSE INTERNATIONAL,SAN JOSE,USA,18,37.362,-121.929,173,12480232
FOC,CHANGLE,FUZHOU,CHINA,15,25.933,119.662,174,12469235
CGN,KOLN BONN,COLOGNE,GERMANY,93,50.866,7.143,175,12384223
BGY,BERGAMO ORIO AL SERIO,BERGAMO,ITALY,238,45.674,9.704,176,12336137
MSY,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL,NEW ORLEANS,USA,2,29.993,-90.258,178,12009512
UPG,HASANUDDIN,UJUNG PANDANG,INDONESIA,15,-5.062,119.554,180,11653387
RDU,RALEIGH DURHAM INTERNATIONAL,RALEIGH-DURHAM,USA,133,35.877,-78.787,181,11653086
MCI,KANSAS CITY INTERNATIONAL,KANSAS CITY,USA,313,39.297,-94.714,182,11503936
SHJ,SHARJAH INTERNATIONAL,SHARJAH,UNITED ARAB EMIRATES,34,25.328,55.517,183,11360000
TFS,TENERIFE SUR,TENERIFE,CANARY ISLANDS,64,28.044,-16.572,184,11249327
KHN,NANCHANG AIRPORT,NANCHANG,CHINA,0,28.6,115.917,185,11212161
CAI,CAIRO INTERNATIONAL,CAIRO,EGYPT,117,30.122,31.406,186,11081892
STR,STUTTGART,STUTTGART,GERMANY,389,48.69,9.222,188,10962247
SMF,SACRAMENTO INTERNATIONAL,SACRAMENTO,USA,9,38.695,-121.591,189,10912097
DAD,DANANG INTERNATIONAL,DANANG,VIET NAM,11,16.044,108.199,190,10860235
OPO,PORTO,PORTO,ACORES,70,41.248,-8.681,191,10787000
CPT,CAPE TOWN INTERNATIONAL,CAPE TOWN,SOUTH AFRICA,47,-33.965,18.602,192,10693063
KBP,BORYSPIL,KIEV,RUSSIA,131,50.345,30.895,193,10554757
SNA,JOHN WAYNE ARPT ORANGE CO,SANTA ANA,USA,18,33.676,-117.868,196,10423578
VCE,VENEZIA TESSERA,VENICE,ITALY,3,45.505,12.352,197,10371380
LYS,SAINT EXUPERY,LYON,FRANCE,251,45.726,5.091,199,10280192
NGO,NAGOYA,NAGOYA,JAPAN,16,35.255,136.924,202,10177713
CNF,TANCREDO NEVES,BELO HORIZONTE,BRAZIL,828,-19.634,-43.969,203,10164077
CEB,COTABATO,CEBU,PHILIPPINES,58,7.165,124.21,204,10050940
GLA,GLASGOW,GLASGOW,UK,8,55.872,-4.433,205,9897825
